Date,Customer_ID,Customer,Pricelist,Order_Lines_Product_ID,Product_Display_Name,Product_Sub_Category,Product_Category,Broad_Category,Order_Lines_Unit_Price,Order_Quantity,Subtotal,Total_OrderQuantity,Total_Subtotal
2025-03-18,CUST_049,Elizabeth Bailey,Retail,PROD_042,Product 42,Bakery,Food,Home Essentials,57.78,8,462.24,8,462.24
2025-07-15,CUST_004,Bonnie Garrett,Retail,PROD_043,Product 43,Bakery,Household,Grocery,19.26,5,96.3,5,96.3
2025-07-26,CUST_048,William Fritz,Retail,PROD_027,Product 27,Vegetables,Food,Grocery,11.79,6,70.74,6,70.74
2025-06-11,CUST_044,Thomas Johnson,Retail,PROD_008,Product 8,Vegetables,Beverage,Grocery,97.48,4,389.92,4,389.92
2025-04-25,CUST_046,Jennifer Glass,Retail,PROD_044,Product 44,Beverages,Food,Grocery,13.71,6,82.26,6,82.26
2025-06-24,CUST_044,Thomas Johnson,Retail,PROD_093,Product 93,Vegetables,Food,Grocery,56.34,2,112.68,2,112.68
2025-08-05,CUST_042,Jorge Morris,Retail,PROD_029,Product 29,Bakery,Household,Home Essentials,43.01,2,86.02,2,86.02
2025-08-17,CUST_050,James Steele,Wholesale,PROD_003,Product 3,Beverages,Food,Grocery,48.25,4,193.0,4,193.0
2025-06-13,CUST_043,William Rios,Wholesale,PROD_014,Product 14,Dairy,Household,Grocery,44.49,10,444.9,10,444.9
2025-03-19,CUST_018,Kevin Ward,Retail,PROD_089,Product 89,Vegetables,Household,Home Essentials,93.12,10,931.2,10,931.2
2025-04-02,CUST_042,Jorge Morris,Retail,PROD_040,Product 40,Beverages,Household,Grocery,50.69,7,354.83,9,510.96999999999997
2025-03-09,CUST_004,Bonnie Garrett,Retail,PROD_009,Product 9,Dairy,Beverage,Home Essentials,41.54,6,249.24,6,249.24
2025-03-31,CUST_020,Katrina Smith,Retail,PROD_086,Product 86,Vegetables,Food,Home Essentials,60.87,5,304.35,5,304.35
2025-03-02,CUST_005,Anthony Brown,Wholesale,PROD_032,Product 32,Beverages,Household,Home Essentials,54.34,3,163.02,3,163.02
2025-06-06,CUST_040,Taylor Moore,Wholesale,PROD_039,Product 39,Beverages,Food,Home Essentials,79.35,5,396.75,5,396.75
2025-05-05,CUST_048,William Fritz,Retail,PROD_063,Product 63,Bakery,Food,Grocery,47.2,5,236.0,5,236.0
2025-03-27,CUST_037,Jack Williamson,Retail,PROD_041,Product 41,Fruits,Beverage,Grocery,99.95,1,99.95,1,99.95
2025-06-12,CUST_008,Stacy Robles,Retail,PROD_055,Product 55,Dairy,Household,Home Essentials,32.54,8,260.32,8,260.32
2025-05-02,CUST_016,Jason Vazquez,Wholesale,PROD_018,Product 18,Vegetables,Beverage,Home Essentials,85.19,10,851.9,10,851.9
2025-06-05,CUST_037,Jack Williamson,Retail,PROD_100,Product 100,Vegetables,Food,Grocery,53.0,8,424.0,8,424.0
2025-05-18,CUST_030,Daniel Taylor,Retail,PROD_041,Product 41,Bakery,Household,Grocery,53.29,10,532.9,10,532.9
2025-07-23,CUST_013,Joseph Noble,Wholesale,PROD_038,Product 38,Bakery,Household,Grocery,4.96,1,4.96,1,4.96
2025-06-12,CUST_024,Katelyn Burke,Retail,PROD_042,Product 42,Bakery,Food,Home Essentials,74.8,5,374.0,5,374.0
2025-05-24,CUST_044,Thomas Johnson,Retail,PROD_004,Product 4,Bakery,Household,Home Essentials,15.7,3,47.1,3,47.1
2025-05-04,CUST_043,William Rios,Retail,PROD_032,Product 32,Fruits,Household,Home Essentials,5.49,3,16.47,3,16.47
2025-05-31,CUST_012,Melissa Montgomery,Wholesale,PROD_081,Product 81,Vegetables,Household,Home Essentials,25.18,10,251.8,10,251.8
2025-08-04,CUST_033,Thomas Williams,Retail,PROD_070,Product 70,Fruits,Food,Grocery,36.89,10,368.9,10,368.9
2025-04-11,CUST_032,Kyle Rogers,Wholesale,PROD_044,Product 44,Bakery,Food,Home Essentials,79.23,4,316.92,4,316.92
2025-07-23,CUST_043,William Rios,Retail,PROD_075,Product 75,Bakery,Household,Home Essentials,65.03,8,520.24,8,520.24
2025-03-27,CUST_004,Bonnie Garrett,Retail,PROD_091,Product 91,Bakery,Beverage,Grocery,90.4,8,723.2,8,723.2
2025-04-26,CUST_035,Kelsey Shaw,Retail,PROD_037,Product 37,Fruits,Household,Home Essentials,30.48,2,60.96,2,60.96
2025-08-08,CUST_005,Anthony Brown,Retail,PROD_066,Product 66,Vegetables,Beverage,Home Essentials,4.47,7,31.29,7,31.29
2025-02-27,CUST_023,Miss Patricia Huff,Retail,PROD_021,Product 21,Vegetables,Food,Home Essentials,75.58,5,377.9,5,377.9
2025-04-25,CUST_045,Sheila Williamson,Retail,PROD_056,Product 56,Beverages,Beverage,Grocery,45.41,7,317.87,7,317.87
2025-03-15,CUST_026,Adam Johnson,Wholesale,PROD_018,Product 18,Fruits,Household,Home Essentials,7.53,9,67.77,9,67.77
2025-03-01,CUST_001,Pamela Tran,Wholesale,PROD_094,Product 94,Fruits,Beverage,Home Essentials,30.45,8,243.6,21,1010.48
2025-05-11,CUST_001,Pamela Tran,Wholesale,PROD_026,Product 26,Dairy,Household,Home Essentials,1.65,3,4.95,3,4.95
2025-03-27,CUST_018,Kevin Ward,Retail,PROD_100,Product 100,Dairy,Household,Home Essentials,33.85,6,203.1,11,431.9
2025-07-30,CUST_001,Pamela Tran,Retail,PROD_075,Product 75,Vegetables,Food,Home Essentials,81.71,10,817.1,10,817.1
2025-08-01,CUST_043,William Rios,Wholesale,PROD_031,Product 31,Vegetables,Beverage,Grocery,43.64,1,43.64,1,43.64
2025-07-10,CUST_016,Jason Vazquez,Wholesale,PROD_085,Product 85,Beverages,Beverage,Home Essentials,76.14,6,456.84,6,456.84
2025-04-30,CUST_009,Tina Sullivan,Wholesale,PROD_083,Product 83,Vegetables,Household,Grocery,1.17,5,5.85,5,5.85
2025-05-26,CUST_042,Jorge Morris,Wholesale,PROD_026,Product 26,Bakery,Beverage,Home Essentials,51.83,9,466.47,9,466.47
2025-03-22,CUST_043,William Rios,Retail,PROD_028,Product 28,Beverages,Beverage,Grocery,74.78,9,673.02,18,769.95
2025-05-21,CUST_003,Katherine Washington,Wholesale,PROD_086,Product 86,Bakery,Beverage,Home Essentials,77.1,8,616.8,8,616.8
2025-08-09,CUST_015,Lindsey Glass,Retail,PROD_093,Product 93,Fruits,Food,Grocery,50.06,10,500.6,10,500.6
2025-04-02,CUST_022,Ashley Wyatt,Wholesale,PROD_067,Product 67,Vegetables,Food,Grocery,51.84,5,259.2,5,259.2
2025-06-25,CUST_009,Tina Sullivan,Wholesale,PROD_083,Product 83,Bakery,Household,Home Essentials,53.36,5,266.8,5,266.8
2025-03-14,CUST_041,Alan Williams,Retail,PROD_029,Product 29,Vegetables,Household,Home Essentials,41.28,7,288.96,17,450.65999999999997
2025-05-25,CUST_033,Thomas Williams,Wholesale,PROD_095,Product 95,Bakery,Household,Home Essentials,40.69,4,162.76,4,162.76
2025-06-10,CUST_007,David Collins,Wholesale,PROD_033,Product 33,Dairy,Food,Grocery,11.03,9,99.27,9,99.27
2025-03-22,CUST_015,Lindsey Glass,Retail,PROD_021,Product 21,Beverages,Household,Home Essentials,71.87,10,718.7,11,814.6
2025-03-24,CUST_038,Edward Moreno,Wholesale,PROD_069,Product 69,Vegetables,Household,Home Essentials,92.47,6,554.82,6,554.82
2025-05-23,CUST_023,Miss Patricia Huff,Wholesale,PROD_032,Product 32,Bakery,Household,Home Essentials,75.24,8,601.92,8,601.92
2025-04-28,CUST_050,James Steele,Wholesale,PROD_061,Product 61,Vegetables,Beverage,Home Essentials,33.84,6,203.04,6,203.04
2025-07-30,CUST_004,Bonnie Garrett,Wholesale,PROD_027,Product 27,Dairy,Household,Grocery,92.51,10,925.1,10,925.1
2025-06-13,CUST_026,Adam Johnson,Wholesale,PROD_070,Product 70,Beverages,Household,Grocery,64.06,7,448.42,7,448.42
2025-05-09,CUST_036,Leslie Murray,Wholesale,PROD_027,Product 27,Fruits,Beverage,Grocery,44.38,3,133.14,3,133.14
2025-03-14,CUST_010,Steven Richardson,Retail,PROD_041,Product 41,Fruits,Beverage,Grocery,83.18,3,249.54,3,249.54
2025-05-11,CUST_003,Katherine Washington,Retail,PROD_029,Product 29,Fruits,Household,Home Essentials,65.2,6,391.2,6,391.2
2025-03-04,CUST_011,Brandon White,Retail,PROD_064,Product 64,Bakery,Food,Grocery,62.86,4,251.44,4,251.44
2025-07-06,CUST_042,Jorge Morris,Retail,PROD_031,Product 31,Vegetables,Food,Grocery,10.78,10,107.8,10,107.8
2025-04-11,CUST_005,Anthony Brown,Wholesale,PROD_068,Product 68,Bakery,Household,Home Essentials,2.9,2,5.8,2,5.8
2025-06-13,CUST_030,Daniel Taylor,Wholesale,PROD_083,Product 83,Dairy,Beverage,Home Essentials,25.07,8,200.56,8,200.56
2025-06-04,CUST_035,Kelsey Shaw,Wholesale,PROD_021,Product 21,Fruits,Food,Home Essentials,57.47,9,517.23,9,517.23
2025-02-21,CUST_019,Brian Turner,Wholesale,PROD_097,Product 97,Vegetables,Household,Home Essentials,47.95,6,287.7,6,287.7
2025-04-29,CUST_001,Pamela Tran,Wholesale,PROD_022,Product 22,Dairy,Beverage,Grocery,99.6,7,697.2,7,697.2
2025-03-22,CUST_015,Lindsey Glass,Wholesale,PROD_060,Product 60,Dairy,Beverage,Grocery,95.9,1,95.9,11,814.6
2025-06-02,CUST_019,Brian Turner,Retail,PROD_022,Product 22,Bakery,Household,Home Essentials,55.55,10,555.5,10,555.5
2025-05-09,CUST_040,Taylor Moore,Retail,PROD_005,Product 5,Dairy,Household,Grocery,14.6,6,87.6,6,87.6
2025-04-15,CUST_050,James Steele,Retail,PROD_027,Product 27,Dairy,Beverage,Home Essentials,86.7,5,433.5,5,433.5
2025-04-01,CUST_031,Heather Gray,Wholesale,PROD_024,Product 24,Beverages,Beverage,Home Essentials,13.59,1,13.59,1,13.59
2025-04-09,CUST_046,Jennifer Glass,Wholesale,PROD_053,Product 53,Dairy,Beverage,Grocery,95.6,7,669.2,7,669.2
2025-03-04,CUST_017,Kimberly Rose,Retail,PROD_022,Product 22,Bakery,Household,Home Essentials,15.3,8,122.4,8,122.4
2025-04-28,CUST_047,Mr. Marc Dalton,Wholesale,PROD_068,Product 68,Vegetables,Household,Grocery,43.53,3,130.59,3,130.59
2025-04-16,CUST_020,Katrina Smith,Retail,PROD_080,Product 80,Dairy,Household,Home Essentials,18.83,7,131.81,16,526.1
2025-07-08,CUST_034,Robert Miller,Wholesale,PROD_064,Product 64,Vegetables,Beverage,Grocery,52.98,3,158.94,3,158.94
2025-06-24,CUST_010,Steven Richardson,Retail,PROD_073,Product 73,Beverages,Beverage,Home Essentials,13.6,7,95.2,7,95.2
2025-08-19,CUST_013,Joseph Noble,Wholesale,PROD_081,Product 81,Dairy,Beverage,Home Essentials,59.29,6,355.74,6,355.74
2025-07-24,CUST_024,Katelyn Burke,Wholesale,PROD_052,Product 52,Fruits,Household,Grocery,64.15,8,513.2,8,513.2
2025-05-20,CUST_042,Jorge Morris,Retail,PROD_040,Product 40,Beverages,Household,Home Essentials,22.65,7,158.55,7,158.55
2025-02-26,CUST_006,Richard Wilson,Retail,PROD_007,Product 7,Bakery,Household,Home Essentials,97.92,5,489.6,6,517.16
2025-03-19,CUST_029,Diana Rojas,Wholesale,PROD_047,Product 47,Dairy,Beverage,Home Essentials,30.86,7,216.02,16,457.58000000000004
2025-04-19,CUST_045,Sheila Williamson,Retail,PROD_042,Product 42,Beverages,Beverage,Grocery,3.05,8,24.4,8,24.4
2025-04-17,CUST_036,Leslie Murray,Retail,PROD_027,Product 27,Beverages,Beverage,Grocery,53.22,9,478.98,9,478.98
2025-05-17,CUST_010,Steven Richardson,Retail,PROD_036,Product 36,Fruits,Beverage,Grocery,50.3,8,402.4,8,402.4
2025-07-18,CUST_044,Thomas Johnson,Wholesale,PROD_019,Product 19,Fruits,Household,Grocery,95.98,7,671.86,7,671.86
2025-08-07,CUST_045,Sheila Williamson,Wholesale,PROD_059,Product 59,Bakery,Household,Home Essentials,95.92,7,671.44,7,671.44
2025-02-20,CUST_012,Melissa Montgomery,Retail,PROD_001,Product 1,Dairy,Beverage,Home Essentials,43.79,8,350.32,8,350.32
2025-05-03,CUST_018,Kevin Ward,Wholesale,PROD_023,Product 23,Fruits,Household,Grocery,54.69,2,109.38,2,109.38
2025-04-21,CUST_049,Elizabeth Bailey,Retail,PROD_054,Product 54,Dairy,Food,Home Essentials,55.17,1,55.17,4,68.49000000000001
2025-02-28,CUST_040,Taylor Moore,Wholesale,PROD_082,Product 82,Fruits,Beverage,Home Essentials,89.02,9,801.18,9,801.18
2025-07-27,CUST_007,David Collins,Retail,PROD_075,Product 75,Dairy,Beverage,Home Essentials,10.48,2,20.96,2,20.96
2025-05-01,CUST_009,Tina Sullivan,Wholesale,PROD_078,Product 78,Dairy,Food,Home Essentials,60.16,4,240.64,4,240.64
2025-08-17,CUST_004,Bonnie Garrett,Retail,PROD_011,Product 11,Dairy,Food,Home Essentials,76.73,1,76.73,1,76.73
2025-02-23,CUST_045,Sheila Williamson,Retail,PROD_071,Product 71,Vegetables,Beverage,Grocery,96.26,1,96.26,1,96.26
2025-03-21,CUST_043,William Rios,Retail,PROD_043,Product 43,Dairy,Household,Home Essentials,67.38,7,471.66,7,471.66
2025-06-25,CUST_001,Pamela Tran,Retail,PROD_092,Product 92,Beverages,Food,Grocery,76.36,3,229.08,3,229.08
2025-07-19,CUST_001,Pamela Tran,Wholesale,PROD_087,Product 87,Fruits,Food,Home Essentials,93.66,3,280.98,3,280.98
2025-07-20,CUST_029,Diana Rojas,Wholesale,PROD_093,Product 93,Beverages,Food,Grocery,49.09,9,441.81,9,441.81
2025-07-11,CUST_036,Leslie Murray,Wholesale,PROD_084,Product 84,Fruits,Household,Grocery,79.27,10,792.7,10,792.7
2025-03-05,CUST_021,Grace Wright,Wholesale,PROD_076,Product 76,Bakery,Beverage,Grocery,66.94,8,535.52,8,535.52
2025-05-10,CUST_028,Patrick Robinson,Wholesale,PROD_051,Product 51,Beverages,Beverage,Grocery,15.02,4,60.08,4,60.08
2025-03-19,CUST_026,Adam Johnson,Wholesale,PROD_031,Product 31,Beverages,Food,Home Essentials,1.41,7,9.87,7,9.87
2025-07-27,CUST_050,James Steele,Wholesale,PROD_051,Product 51,Vegetables,Food,Grocery,19.85,1,19.85,1,19.85
2025-06-17,CUST_010,Steven Richardson,Wholesale,PROD_002,Product 2,Vegetables,Food,Grocery,52.34,5,261.7,5,261.7
2025-03-25,CUST_026,Adam Johnson,Retail,PROD_019,Product 19,Vegetables,Food,Home Essentials,68.14,2,136.28,2,136.28
2025-07-19,CUST_042,Jorge Morris,Wholesale,PROD_018,Product 18,Bakery,Beverage,Home Essentials,93.81,3,281.43,3,281.43
2025-06-02,CUST_044,Thomas Johnson,Retail,PROD_042,Product 42,Fruits,Beverage,Grocery,43.34,1,43.34,1,43.34
2025-04-27,CUST_035,Kelsey Shaw,Retail,PROD_056,Product 56,Dairy,Household,Grocery,23.56,6,141.36,6,141.36
2025-05-24,CUST_002,Jonathon Thomas,Wholesale,PROD_025,Product 25,Bakery,Beverage,Grocery,44.15,8,353.2,8,353.2
2025-02-23,CUST_036,Leslie Murray,Wholesale,PROD_039,Product 39,Beverages,Food,Grocery,6.91,3,20.73,3,20.73
2025-05-01,CUST_028,Patrick Robinson,Wholesale,PROD_061,Product 61,Bakery,Beverage,Home Essentials,31.61,9,284.49,9,284.49
2025-05-28,CUST_036,Leslie Murray,Wholesale,PROD_061,Product 61,Vegetables,Household,Grocery,44.69,7,312.83,7,312.83
2025-07-15,CUST_022,Ashley Wyatt,Retail,PROD_069,Product 69,Vegetables,Beverage,Home Essentials,39.93,8,319.44,8,319.44
2025-05-01,CUST_014,Carla Bush,Wholesale,PROD_078,Product 78,Dairy,Household,Home Essentials,19.17,7,134.19,7,134.19
2025-06-27,CUST_040,Taylor Moore,Wholesale,PROD_076,Product 76,Beverages,Food,Grocery,90.72,3,272.16,3,272.16
2025-04-25,CUST_038,Edward Moreno,Wholesale,PROD_066,Product 66,Bakery,Household,Grocery,44.03,10,440.3,10,440.3
2025-04-26,CUST_009,Tina Sullivan,Wholesale,PROD_057,Product 57,Fruits,Food,Home Essentials,20.44,7,143.08,7,143.08
2025-08-01,CUST_002,Jonathon Thomas,Retail,PROD_100,Product 100,Beverages,Food,Home Essentials,80.97,1,80.97,1,80.97
2025-04-20,CUST_021,Grace Wright,Wholesale,PROD_037,Product 37,Bakery,Beverage,Home Essentials,42.64,3,127.92,3,127.92
2025-07-15,CUST_006,Richard Wilson,Wholesale,PROD_023,Product 23,Vegetables,Household,Grocery,73.59,2,147.18,2,147.18
2025-04-07,CUST_002,Jonathon Thomas,Retail,PROD_062,Product 62,Beverages,Household,Home Essentials,32.5,1,32.5,1,32.5
2025-05-04,CUST_001,Pamela Tran,Wholesale,PROD_022,Product 22,Dairy,Beverage,Home Essentials,31.93,8,255.44,8,255.44
2025-04-21,CUST_046,Jennifer Glass,Retail,PROD_043,Product 43,Beverages,Household,Grocery,10.32,8,82.56,8,82.56
2025-02-23,CUST_038,Edward Moreno,Retail,PROD_095,Product 95,Beverages,Beverage,Grocery,82.71,4,330.84,4,330.84
2025-03-15,CUST_018,Kevin Ward,Retail,PROD_099,Product 99,Bakery,Household,Home Essentials,34.83,4,139.32,4,139.32
2025-08-11,CUST_050,James Steele,Retail,PROD_034,Product 34,Beverages,Beverage,Home Essentials,63.05,3,189.15,3,189.15
2025-03-01,CUST_011,Brandon White,Retail,PROD_079,Product 79,Beverages,Beverage,Home Essentials,68.91,1,68.91,1,68.91
2025-07-24,CUST_040,Taylor Moore,Wholesale,PROD_076,Product 76,Bakery,Food,Grocery,28.67,6,172.02,10,456.86
2025-07-14,CUST_049,Elizabeth Bailey,Retail,PROD_075,Product 75,Beverages,Household,Home Essentials,8.72,3,26.16,3,26.16
2025-03-08,CUST_017,Kimberly Rose,Wholesale,PROD_088,Product 88,Vegetables,Food,Grocery,72.11,1,72.11,1,72.11
2025-02-18,CUST_025,John Guerra,Wholesale,PROD_006,Product 6,Bakery,Food,Grocery,14.53,10,145.3,10,145.3
2025-05-08,CUST_003,Katherine Washington,Wholesale,PROD_066,Product 66,Dairy,Food,Home Essentials,15.56,7,108.92,7,108.92
2025-04-05,CUST_001,Pamela Tran,Retail,PROD_020,Product 20,Beverages,Food,Grocery,93.38,10,933.8,19,1655.33
2025-06-05,CUST_038,Edward Moreno,Wholesale,PROD_032,Product 32,Beverages,Food,Grocery,96.91,1,96.91,1,96.91
2025-07-31,CUST_040,Taylor Moore,Retail,PROD_061,Product 61,Dairy,Beverage,Home Essentials,68.86,5,344.3,5,344.3
2025-04-29,CUST_026,Adam Johnson,Retail,PROD_074,Product 74,Fruits,Beverage,Home Essentials,4.38,10,43.8,10,43.8
2025-07-25,CUST_019,Brian Turner,Wholesale,PROD_022,Product 22,Beverages,Household,Home Essentials,2.05,9,18.45,9,18.45
2025-02-18,CUST_012,Melissa Montgomery,Retail,PROD_013,Product 13,Fruits,Food,Grocery,83.14,7,581.98,7,581.98
2025-04-30,CUST_026,Adam Johnson,Wholesale,PROD_062,Product 62,Beverages,Beverage,Grocery,56.9,4,227.6,4,227.6
2025-06-03,CUST_010,Steven Richardson,Wholesale,PROD_003,Product 3,Dairy,Beverage,Home Essentials,18.47,8,147.76,8,147.76
2025-06-10,CUST_003,Katherine Washington,Wholesale,PROD_100,Product 100,Bakery,Household,Home Essentials,83.7,4,334.8,8,425.68
2025-08-10,CUST_042,Jorge Morris,Retail,PROD_003,Product 3,Vegetables,Beverage,Grocery,66.0,4,264.0,4,264.0
2025-07-24,CUST_040,Taylor Moore,Retail,PROD_066,Product 66,Dairy,Food,Grocery,71.21,4,284.84,10,456.86
2025-06-27,CUST_001,Pamela Tran,Wholesale,PROD_077,Product 77,Dairy,Beverage,Grocery,60.98,7,426.86,7,426.86
2025-07-19,CUST_038,Edward Moreno,Retail,PROD_093,Product 93,Beverages,Food,Grocery,62.35,4,249.4,14,1206.7
2025-07-02,CUST_009,Tina Sullivan,Wholesale,PROD_010,Product 10,Beverages,Household,Home Essentials,61.9,2,123.8,2,123.8
2025-06-17,CUST_011,Brandon White,Retail,PROD_045,Product 45,Fruits,Household,Grocery,10.19,10,101.9,10,101.9
2025-07-16,CUST_047,Mr. Marc Dalton,Retail,PROD_032,Product 32,Dairy,Beverage,Grocery,86.24,4,344.96,4,344.96
2025-06-21,CUST_012,Melissa Montgomery,Retail,PROD_077,Product 77,Vegetables,Household,Home Essentials,75.16,9,676.44,9,676.44
2025-07-14,CUST_017,Kimberly Rose,Wholesale,PROD_012,Product 12,Vegetables,Household,Home Essentials,54.7,5,273.5,5,273.5
2025-03-07,CUST_003,Katherine Washington,Wholesale,PROD_006,Product 6,Bakery,Food,Home Essentials,81.11,4,324.44,4,324.44
2025-06-21,CUST_016,Jason Vazquez,Retail,PROD_040,Product 40,Dairy,Household,Grocery,12.44,1,12.44,1,12.44
2025-05-18,CUST_044,Thomas Johnson,Wholesale,PROD_010,Product 10,Dairy,Beverage,Home Essentials,87.76,10,877.6,10,877.6
2025-08-12,CUST_034,Robert Miller,Wholesale,PROD_063,Product 63,Fruits,Household,Grocery,66.49,3,199.47,3,199.47
2025-08-13,CUST_015,Lindsey Glass,Wholesale,PROD_040,Product 40,Bakery,Beverage,Home Essentials,50.18,4,200.72,4,200.72
2025-04-20,CUST_038,Edward Moreno,Wholesale,PROD_082,Product 82,Beverages,Household,Home Essentials,95.44,1,95.44,1,95.44
2025-04-12,CUST_019,Brian Turner,Retail,PROD_035,Product 35,Vegetables,Food,Home Essentials,36.34,4,145.36,4,145.36
2025-04-18,CUST_038,Edward Moreno,Retail,PROD_048,Product 48,Beverages,Food,Home Essentials,43.57,4,174.28,4,174.28
2025-03-29,CUST_027,Wesley Hart,Retail,PROD_022,Product 22,Bakery,Household,Home Essentials,71.67,4,286.68,4,286.68
2025-05-17,CUST_013,Joseph Noble,Wholesale,PROD_086,Product 86,Vegetables,Household,Home Essentials,59.29,4,237.16,4,237.16
2025-05-03,CUST_010,Steven Richardson,Retail,PROD_037,Product 37,Beverages,Food,Grocery,34.17,3,102.51,3,102.51
2025-06-06,CUST_049,Elizabeth Bailey,Wholesale,PROD_030,Product 30,Vegetables,Household,Home Essentials,95.65,6,573.9,6,573.9
2025-07-19,CUST_035,Kelsey Shaw,Retail,PROD_016,Product 16,Vegetables,Food,Grocery,60.4,5,302.0,5,302.0
2025-08-09,CUST_037,Jack Williamson,Retail,PROD_096,Product 96,Dairy,Beverage,Grocery,87.89,5,439.45,5,439.45
2025-05-04,CUST_030,Daniel Taylor,Wholesale,PROD_072,Product 72,Beverages,Food,Home Essentials,3.01,1,3.01,1,3.01
2025-03-06,CUST_027,Wesley Hart,Retail,PROD_021,Product 21,Bakery,Food,Home Essentials,26.04,10,260.4,10,260.4
2025-02-21,CUST_039,Shannon Green,Wholesale,PROD_034,Product 34,Beverages,Food,Grocery,71.03,6,426.18,6,426.18
2025-03-08,CUST_015,Lindsey Glass,Retail,PROD_095,Product 95,Vegetables,Beverage,Grocery,91.91,8,735.28,8,735.28
2025-05-16,CUST_041,Alan Williams,Wholesale,PROD_054,Product 54,Fruits,Food,Grocery,80.41,5,402.05,5,402.05
2025-03-15,CUST_027,Wesley Hart,Retail,PROD_052,Product 52,Dairy,Beverage,Home Essentials,4.08,3,12.24,3,12.24
2025-04-05,CUST_047,Mr. Marc Dalton,Wholesale,PROD_083,Product 83,Vegetables,Food,Grocery,57.62,7,403.34,7,403.34
2025-04-11,CUST_043,William Rios,Wholesale,PROD_078,Product 78,Dairy,Household,Home Essentials,66.95,4,267.8,4,267.8
2025-03-26,CUST_035,Kelsey Shaw,Wholesale,PROD_063,Product 63,Vegetables,Household,Home Essentials,50.94,1,50.94,1,50.94
2025-06-20,CUST_007,David Collins,Wholesale,PROD_084,Product 84,Bakery,Food,Home Essentials,65.2,3,195.6,3,195.6
2025-04-12,CUST_017,Kimberly Rose,Wholesale,PROD_097,Product 97,Dairy,Beverage,Home Essentials,23.04,9,207.36,9,207.36
2025-06-18,CUST_011,Brandon White,Wholesale,PROD_083,Product 83,Vegetables,Food,Grocery,73.65,5,368.25,5,368.25
2025-06-01,CUST_036,Leslie Murray,Wholesale,PROD_064,Product 64,Dairy,Beverage,Home Essentials,95.41,10,954.1,10,954.1
2025-07-10,CUST_024,Katelyn Burke,Wholesale,PROD_093,Product 93,Bakery,Food,Grocery,7.85,4,31.4,4,31.4
2025-04-13,CUST_036,Leslie Murray,Retail,PROD_001,Product 1,Dairy,Beverage,Home Essentials,52.88,8,423.04,14,533.38
2025-06-14,CUST_004,Bonnie Garrett,Wholesale,PROD_064,Product 64,Dairy,Food,Home Essentials,33.41,2,66.82,2,66.82
2025-05-13,CUST_041,Alan Williams,Retail,PROD_099,Product 99,Fruits,Beverage,Grocery,20.64,5,103.2,5,103.2
2025-02-19,CUST_029,Diana Rojas,Wholesale,PROD_039,Product 39,Bakery,Beverage,Home Essentials,77.85,10,778.5,10,778.5
2025-02-27,CUST_027,Wesley Hart,Wholesale,PROD_078,Product 78,Fruits,Household,Home Essentials,57.85,9,520.65,9,520.65
2025-06-01,CUST_042,Jorge Morris,Retail,PROD_075,Product 75,Fruits,Food,Home Essentials,47.38,1,47.38,1,47.38
2025-03-02,CUST_037,Jack Williamson,Wholesale,PROD_060,Product 60,Fruits,Household,Grocery,1.48,1,1.48,1,1.48
2025-07-09,CUST_003,Katherine Washington,Wholesale,PROD_080,Product 80,Bakery,Food,Home Essentials,1.96,6,11.76,6,11.76
